Code	Scientific	Common	Reverse
5620	'Arenaria melanocephala'	'Black Turnstone'	'Arenaria melanocephala'
5630	'Phalaropus tricolor'	'Wilson\'s Phalarope'	'Phalaropus tricolor'
5640	'Phalaropus lobatus'	'Red-necked phalarope'	'Phalaropus lobatus'
5650	'Phalaropus fulicaria'	'NA'	'Phalaropus fulicaria'
5659	'Limicolae'	'Earthworm'	'Limicola'
5660	'Stercorarius pomarinus'	'Pomarine jaeger'	'Stercorarius pomarinus'
5670	'Stercorarius parasiticus'	'Great skua'	'Stercorarius parasiticus'
5680	'Stercorarius longicaudus'	'Long-tailed jaeger'	'Stercorarius longicaudus'
5690	'Stercorarius skua'	'Great skua'	'Stercorarius skua'
5691	'Stercorarius skua skua'	'NA'	'Stercorarius skua skua'
5692	'Stercorarius skua loennbergi'	'Great skua'	'Stercorarius skua'
5693	'Stercorarius skua antarcticus'	'Great skua'	'Stercorarius skua'
5700	'Stercorarius maccormicki'	'South Polar Skua'	'Stercorarius maccormicki'
5709	'Stercorarius sp.'	'トウゾクカモメ属'	'Stercorarius'
5710	'Larus hemprichii'	'Goéland de Hemprich'	'Larus hemprichii'
5720	'Larus leucophthalmus'	'White-eyed gull'	'Larus leucophthalmus'
5730	'Larus ichthyaetus'	'Fischmöwe'	'Larus ichthyaetus'
5740	'Larus relictus'	'Gabbiano della Mongolia'	'Larus relictus'
5750	'Larus melanocephalus'	'Mediterranean Gull'	'Larus melanocephalus'
5760	'Larus atricilla'	'laughing gull'	'Larus atricilla'
5770	'Larus pipixcan'	'Gaviota de Franklin'	'Larus pipixcan'
5780	'Larus minutus'	'Little Gull'	'Larus minutus'
5790	'Larus sabini'	'NA'	'Larus sabini'
5800	'Larus saundersi'	'Saunder\'s gull'	'Larus saundersi'
5810	'Larus philadelphia'	'Bonaparte\'s gull'	'Larus philadelphia'
5820	'Larus ridibundus'	'Black-headed gull'	'Larus ridibundus'
5830	'Larus brunnicephalus'	'brown-headed gull'	'Larus brunnicephalus'
5840	'Larus cirrocephalus'	'Graukopfmöwe'	'Larus cirrocephalus'
5850	'Larus genei'	'Dünnschnabelmöwe'	'Larus genei'
5860	'Larus heermanni'	'Heermann\'s Gull'	'Larus heermanni'
5870	'Larus crassirostris'	'Black-tailed Gull'	'Larus crassirostris'
5880	'Larus audouinii'	'Audouin\'s gull'	'Larus audouinii'
5890	'Larus delawarensis'	'Ring-billed Gull'	'Larus delawarensis'
5900	'Larus canus'	'Mew gull'	'Larus canus'
5901	'Larus canus canus'	'fiskmås, rasen canus'	'Larus canus canus'
5902	'Larus canus heinei'	'ニシシベリアカモメ'	'Larus canus heinei'
5910	'Larus fuscus'	'Lesser black-backed gull'	'Larus fuscus'
5911	'Larus fuscus fuscus'	'silltrut, rasen fuscus'	'Larus fuscus fuscus'
5912	'Larus fuscus graellsii'	'Britse kleine mantelmeeuw'	'Larus fuscus graellsii'
5913	'Larus fuscus intermedius'	'silltrut, rasen intermedius'	'Larus fuscus intermedius'
5920	'Larus argentatus'	'European herring gull'	'Larus argentatus'
5921	'Larus argentatus argentatus'	'gråtrut, rasen argentatus'	'Larus argentatus argentatus'
5922	'Larus argentatus heuglini'	'European herring gull'	'Larus argentatus'
5923	'Larus argentatus taimyrensis'	'European herring gull'	'Larus argentatus'
5924	'Larus argentatus vegae'	'NA'	'Larus argentatus vegae'
5925	'Larus argentatus atlantis'	'European herring gull'	'Larus argentatus'
5926	'Larus argentatus michahellis'	'NA'	'Larus argentatus michaelis'
5927	'Larus argentatus cachinnans'	'NA'	'Larus argentatus cachinnans'
5928	'Larus argentatus argenteus'	'Herring gull'	'Larus argentatus argenteus'
5930	'Larus californicus'	'California Gull'	'Larus californicus'
5940	'Larus occidentalis'	'Western Gull'	'Larus occidentalis'
5950	'Larus schistisagus'	'Slaty-backed Gull'	'Larus schistisagus'
5960	'Larus glaucescens'	'Glaucous-winged Gull'	'Larus glaucescens'
5970	'Larus thayeri'	'Goéland de Thayer'	'Larus thayeri'
5980	'Larus glaucoides'	'Iceland gull'	'Larus glaucoides'
5981	'Larus glaucoides glaucoides'	'vitvingad trut, rasen glaucoides'	'Larus glaucoides glaucoides'
5982	'Larus glaucoides kumlieni'	'クムリーンアイスランドカモメ'	'Larus glaucoides kumlieni'
5990	'Larus hyperboreus'	'Glaucous Gull'	'Larus hyperboreus'
6000	'Larus marinus'	'Great black-backed gull'	'Larus marinus'
6009	'Larus sp.'	'カモメ属'	'Larus'
6010	'Rhodostethia rosea'	'Ross\'s Gull'	'Rhodostethia rosea'
6020	'Rissa tridactyla'	'Black-legged kittiwake'	'Rissa tridactyla'
6030	'Rissa brevirostris'	'Red-legged Kittiwake'	'Rissa brevirostris'
6040	'Pagophila eburnea'	'Ivory gull'	'Pagophila eburnea'
6050	'Gelochelidon nilotica'	'Gull-billed tern'	'Gelochelidon nilotica'
6060	'Sterna caspia'	'Pagaza mayor, piquirrojo'	'Sterna caspia'
6070	'Sterna maxima'	'royal tern'	'Sterna maxima'
6080	'Sterna bergii'	'NA'	'Sterna bergii'
6090	'Sterna bengalensis'	'NA'	'Sterna bengalensis'
6100	'Sterna zimmermanni'	'NA'	'Sterna zimmermanni'
6110	'Sterna sandvicensis'	'Sandwich tern'	'Sterna sandvicensis'
6111	'Sterna acuflavida'	'NA'	'Sterna acuflavida'
6120	'Sterna elegans'	'Pagaza elegante'	'Sterna elegans'
6130	'Sterna sumatrana'	'Black-naped Tern'	'Sterna sumatrana'
6140	'Sterna dougallii'	'Roseate tern'	'Sterna dougallii'
6150	'Sterna hirundo'	'Common tern'	'Sterna hirundo'
6160	'Sterna paradisaea'	'Arctic tern'	'Sterna paradisaea'
6170	'Sterna aleutica'	'NA'	'Sterna aleutica'
6180	'Sterna forsteri'	'Forster\'s Tern'	'Sterna forsteri'
6190	'Sterna trudeaui'	'rybitwa maskowa'	'Sterna trudeaui'
6200	'Sterna repressa'	'Sterne à joues blanches'	'Sterna repressa'
6210	'Sterna lunata'	'NA'	'Sterna lunata'
6220	'Sterna anaethetus'	'Charrán embridado'	'Sterna anaethetus'
6230	'Sterna fuscata'	'Charrán sombrío'	'Sterna fuscata'
6240	'Sterna albifrons'	'Chinese tern'	'Sterna albifrons'
6250	'Sterna saundersi'	'Orientseeschwalbe'	'Sterna saundersi'
6259	'Sterna sp.'	'Roseate tern'	'Sterna'
6260	'Chlidonias hybridus'	'NA'	'Chlidonias hybridus'
6270	'Chlidonias niger'	'Black tern'	'Chlidonias niger'
6271	'Chlidonias niger niger'	'NA'	'Chlidonias niger niger'
6272	'Chlidonias niger surinamensis'	'NA'	'Chlidonias niger surinamensis'
6280	'Chlidonias leucopterus'	'White-winged tern'	'Chlidonias leucopterus'
6289	'Chlidonias sp.'	'Bataqlıq susüpürənləri'	'Chlidonias'
6290	'Anous tenuirostris'	'Lesser Noddy'	'Anous tenuirostris'
6300	'Anous stolidus'	'Brown noddy'	'Anous stolidus'
6310	'Gygis alba'	'Common White-Tern'	'Gygis alba'
6320	'Rynchops nigra'	'NA'	'Rynchops nigra'
6330	'Rynchops flavirostris'	'African Skimmer'	'Rynchops flavirostris'
6340	'Uria aalge'	'common guillemot'	'Uria aalge'
