"Code" "Name" "Rev" "Common"
"10930" "Prunella himalayana" "Prunella himalayana" "Himalayan Accentor"
"10940" "Prunella collaris" "Prunella collaris" "Alpine accentor"
"10949" "Prunella sp." "Prunella" "Prunella a foglie strette"
"10950" "Cercotrichas galactotes" "Cercotrichas galactotes" "Agrobate roux"
"10951" "Cercotrichas galactotes galactotes" "Cercotrichas galactotes galactotes" "NA"
"10952" "Cercotrichas galactotes familiaris" "Cercotrichas galactotes familiaris" "NA"
"10953" "Cercotrichas galactotes syriacus" "Cercotrichas galactotes syriaca" "NA"
"10960" "Cercotrichas podobe" "Cercotrichas podobe" "Agrobate podobé"
"10970" "Brachypteryx stellata" "Brachypteryx stellata" "NA"
"10980" "Brachypteryx montana" "Brachypteryx montana" "White-browed Shortwing"
"10990" "Erithacus rubecula" "Erithacus rubecula" "European Robin"
"10991" "Erithacus rubecula rubecula" "Erithacus rubecula rubecula" "NA"
"10992" "Erithacus rubecula superbus" "Erithacus rubecula superbus" "NA"
"10993" "Erithacus (rubecula) marionae" "Erithacus" "Azeggaɣ wul (tawsit)"
"11000" "Erithacus akahige" "Erithacus akahige" "NA"
"11010" "Erithacus komadori" "Erithacus komadori" "NA"
"11020" "Luscinia sibilans" "Luscinia sibilans" "NA"
"11030" "Luscinia luscinia" "Luscinia luscinia" "Thrush nightingale"
"11040" "Luscinia megarhynchos" "Luscinia megarhynchos" "Common Nightingale"
"11041" "Luscinia megarhynchos megarhynchos" "Luscinia megarhynchos megarhynchos" "NA"
"11042" "Luscinia megarhynchos hafizi" "Luscinia megarhynchos hafizi" "NA"
"11043" "Luscinia megarhynchos africana" "Luscinia megarhynchos africana" "NA"
"11050" "Luscinia calliope" "Luscinia calliope" "Calliope sibérienne"
"11060" "Luscinia svecica" "Luscinia svecica" "Bluethroat"
"11061" "Luscinia svecica svecica" "Luscinia svecica svecica" "NA"
"11062" "Luscinia svecica cyanecula" "Luscinia svecica cyanecula" "NA"
"11063" "Luscinia svecica namnetum" "Luscinia svecica namnetum" "NA"
"11064" "Luscinia svecica magna" "Luscinia svecica magna" "NA"
"11070" "Luscinia pectoralis" "Luscinia pectoralis" "NA"
"11080" "Luscinia ruficeps" "Luscinia ruficeps" "NA"
"11090" "Luscinia obscura" "Luscinia obscura" "NA"
"11100" "Luscinia pectardens" "Luscinia pectardens" "Davidnachtigall"
"11110" "Luscinia brunnea" "Luscinia brunnea" "NA"
"11120" "Luscinia cyane" "Luscinia cyane" "Siberian Blue Robin"
"11129" "Luscinia sp." "Luscinia" "Thrush nightingale"
"11130" "Tarsiger cyanurus" "Tarsiger cyanurus" "Red-flanked Bluetail"
"11140" "Tarsiger chrysaeus" "Tarsiger chrysaeus" "Golden Bush Robin"
"11150" "Tarsiger indicus" "Tarsiger indicus" "White-browed Bush Robin"
"11160" "Tarsiger hyperythrus" "Tarsiger hyperythrus" "Rufous-breasted Bush Robin"
"11170" "Irania gutturalis" "Irania gutturalis" "Irania"
"11180" "Phoenicurus erythronotus" "Phoenicurus erythronotus" "Eversmann's Redstart"
"11190" "Phoenicurus alaschanicus" "Phoenicurus alaschanicus" "Przevalski's Redstart"
"11200" "Phoenicurus caeruleocephalus" "Phoenicurus caeruleocephalus" "NA"
"11210" "Phoenicurus ochruros" "Phoenicurus ochruros" "Black Redstart"
"11211" "Phoenicurus ochruros ochruros" "Phoenicurus ochruros ochruros" "NA"
"11212" "Phoenicurus ochruros gibraltarensis" "Phoenicurus ochruros gibraltariensis" "Rabirruivo"
"11213" "Phoenicurus ochruros aterrimus" "Phoenicurus ochruros aterrimus" "NA"
"11220" "Phoenicurus phoenicurus" "Phoenicurus phoenicurus" "Common redstart"
"11221" "Phoenicurus phoenicurus phoenicurus" "Phoenicurus phoenicurus phoenicurus" "NA"
"11222" "Phoenicurus phoenicurus samamisicus" "Phoenicurus phoenicurus samamisicus" "NA"
"11230" "Phoenicurus hodgsoni" "Phoenicurus hodgsoni" "Hodgson's Redstart"
"11240" "Phoenicurus frontalis" "Phoenicurus frontalis" "Blue-fronted Redstart"
"11250" "Phoenicurus schisticeps" "Phoenicurus schisticeps" "White-throated Redstart"
"11260" "Phoenicurus auroreus" "Phoenicurus auroreus" "Daurian Redstart"
"11270" "Phoenicurus moussieri" "Phoenicurus moussieri" "Moussier's redstart"
"11280" "Phoenicurus erythrogaster" "Phoenicurus erythrogaster" "NA"
"11289" "Phoenicurus sp." "Phoenicurus" "Common redstart"
"11290" "Rhyacornis fuliginosus" "Rhyacornis fuliginosus" "NA"
